symbol,name
AXISGOLD,Axis Gold ETF
AXISNIFTY,Axis Nifty ETF
ICICIB22,Bharat 22 ETF
EBBETF0423,BHARAT Bond ETF April 2023
EBBETF0425,BHARAT Bond ETF April 2025
EBBETF0430,BHARAT Bond ETF April 2030
EBBETF0431,BHARAT Bond ETF April 2031
ABSLBANETF,Aditya Birla Sun Life Banking ETF
BSLGOLDETF,Aditya Birla Sun Life Gold ETF
BSLNIFTY,Aditya Birla Sun Life Nifty ETF
ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF
CPSEETF,CPSE ETF
LIQUIDETF,DSP Liquid ETF
EQ30,Edelweiss Nifty 100 Quality 30 ETF
NIFTYEES,Edelweiss Nifty 50 ETF
EBANK,Edelweiss Nifty Bank ETF
HBANKETF,HDFC Banking ETF
HDFCMFGETF,HDFC Gold ETF
HDFCNIFETF,HDFC Nifty 50 ETF
HDFCSENETF,HDFC Sensex ETF
ICICIALPLV,ICICI Alpha Low Vol 30 ETF
ICICIGOLD,ICICI Gold ETF
ICICIMCAP,ICICI Midcap Select ETF
ICICILOVOL,ICICI Nifty Low Vol 30 ETF
ICICIM150,ICICI Midcap 150 ETF
ICICINXT50,ICICI Nifty Next 50 ETF
ICICIBANKN,ICICI Bank ETF
ICICITECH,ICICI IT ETF
ICICILIQ,ICICI Liquid ETF
ICICINF100,ICICI Nifty 100 ETF
ICICINIFTY,ICICI Nifty ETF
ICICINV20,ICICI NV20 ETF
ICICISENSX,ICICI Sensex ETF
ICICIBANKP,ICICI Private Banks ETF
ICICI500,ICICI BSE 500 ETF
IDBIGOLD,IDBI Gold ETF
IDFNIFTYET,IDFC Nifty ETF
IBMFNIFTY,Indiabulls Nifty 50 ETF
IVZINGOLD,Invesco India Gold ETF
IVZINNIFTY,Invesco India Nifty ETF
KOTAKBKETF,Kotak Banking ETF
KOTAKGOLD,Kotak Gold ETF
KOTAKNIFTY,Kotak Nifty ETF
KOTAKNV20,Kotak NV20 ETF
KOTAKPSUBK,Kotak PSU Bank ETF
LICNFNHGP,LIC Nifty 100 ETF
LICNETFN50,LIC Nifty 50 ETF
LICNETFSEN,LIC Sensex ETF
LICNETFGSC,LIC GSEC Long Term ETF
MAN50ETF,Mirae Asset Nifty 50 ETF
MANXT50,Mirae Asset Nifty Next 50 ETF
MAFANG,Mirae Asset FANG Plus ETF
M50,Motilal Oswal M50 ETF
M100,Motilal Oswal Midcap 100 ETF
N100,Motilal Oswal Nasdaq 100 ETF
BANKBEES,Nippon India Bank ETF
NETFCONSUM,Nippon India Consumption ETF
NETFDIVOPP,Nippon India Dividend Opportunities ETF
GOLDBEES,Nippon India Gold ETF
HNGSNGBEES,Nippon India Hang Seng ETF
INFRABEES,Nippon India Infrastructure ETF
JUNIORBEES,Nippon India Nifty Next 50 ETF
LIQUIDBEES,Nippon India Liquid ETF
NETFLTGILT,Nippon India Long Term Gilt ETF
NETFNIF100,Nippon India Nifty 100 ETF
NIFTYBEES,Nippon India Nifty 50 ETF
NETFIT,Nippon India Nifty IT ETF
NETFNV20,Nippon India NV20 ETF
PSUBNKBEES,Nippon India PSU Bank ETF
SHARIABEES,Nippon India Shariah ETF
NETFMID150,Nippon India Midcap 150 ETF
QGOLDHALF,Quantum Gold ETF
QNIFTY,Quantum Nifty ETF
SBIETFIT,SBI IT ETF
SBIETFPB,SBI Private Bank ETF
SETF10GILT,SBI 10 Year Gilt ETF
SETFGOLD,SBI Gold ETF
SETFNIF50,SBI Nifty 50 ETF
SETFNIFBK,SBI Nifty Bank ETF
SETFNN50,SBI Nifty Next 50 ETF
SBIETFQLTY,SBI Quality ETF
NETF,Tata Nifty ETF
NPBET,Tata Private Bank ETF
UTIBANKETF,UTI Bank ETF
GOLDSHARE,UTI Gold ETF
UTISXN50,UTI Sensex Next 50 ETF
UTINIFTETF,UTI Nifty ETF
UTINEXT50,UTI Nifty Next 50 ETF
UTISENSETF,UTI Sensex ETF
