trade,date,symbol,category,entryPrice
61,2024-10-29,AUTOIETF,AUTO,24.14
62,2024-10-30,PHARMABEES,HEALTHCARE_PHARMA,22.84
63,2024-10-31,NV20IETF,FACTOR,15.31
64,2024-11-04,OILIETF,ENERGY_POWER,11.23
65,2024-11-07,AUTOIETF,AUTO,24.33
66,2024-11-08,OILIETF,ENERGY_POWER,11.3
67,2024-11-11,LOWVOL1,FACTOR,20.24
68,2024-11-12,AUTOIETF,AUTO,23.79
69,2024-11-13,OILIETF,ENERGY_POWER,10.95
70,2024-11-14,FMCGIETF,FMCG_CONSUMPTION,58.77
71,2024-11-18,OILIETF,ENERGY_POWER,10.71
72,2024-11-21,MAHKTECH,GLOBAL,18.06
73,2024-11-28,AUTOIETF,AUTO,23.68
74,2024-12-02,SILVERBEES,SILVER,86.04
75,2024-12-09,FMCGIETF,FMCG_CONSUMPTION,59.41
76,2024-12-12,FMCGIETF,FMCG_CONSUMPTION,59.08
77,2024-12-13,HDFCSILVER,SILVER,87.32
78,2024-12-17,SILVERBEES,SILVER,86.38
79,2024-12-18,CPSEETF,PSU_DEFENCE,88.37
80,2024-12-19,SILVERIETF,SILVER,88.02
81,2024-12-20,MAHKTECH,GLOBAL,18.53
82,2024-12-27,METALIETF,METALS_MATERIALS,8.75
83,2024-12-30,CPSEETF,PSU_DEFENCE,84.36
84,2024-12-31,HDFCSILVER,SILVER,83.91
85,2025-01-08,MOM30IETF,FACTOR,32.37
86,2025-01-09,PSUBNKBEES,BANKING_FINANCIAL,69.7
87,2025-01-10,CPSEETF,PSU_DEFENCE,83.06
88,2025-01-13,PSUBNKBEES,BANKING_FINANCIAL,65.59
89,2025-01-14,FMCGIETF,FMCG_CONSUMPTION,58.53
90,2025-01-16,QUAL30IETF,FACTOR,20.44
91,2025-01-17,BANKIETF,BANKING_FINANCIAL,49.26
92,2025-01-21,MOMENTUM50,FACTOR,50.6
93,2025-01-22,MOREALTY,INFRA_REALTY,86.64
94,2025-01-24,ALPHA,FACTOR,47.63
95,2025-01-27,SMALLCAP,BROAD_MARKET,42.96
96,2025-01-28,MOMENTUM50,FACTOR,47.95
97,2025-01-30,ITIETF,TECHNOLOGY_IT,45.82
98,2025-02-03,SMALLCAP,BROAD_MARKET,43.11
99,2025-02-06,ALPHA,FACTOR,47.04
100,2025-02-07,PSUBNKBEES,BANKING_FINANCIAL,69
101,2025-02-10,ALPHA,FACTOR,46
102,2025-02-11,SMALLCAP,BROAD_MARKET,42.21
103,2025-02-12,MODEFENCE,PSU_DEFENCE,61.6
104,2025-02-13,SMALLCAP,BROAD_MARKET,41.61
105,2025-02-14,ALPHA,FACTOR,43.05
106,2025-02-17,MODEFENCE,PSU_DEFENCE,57.77
107,2025-02-18,ALPHA,FACTOR,42.22
108,2025-02-19,ITBEES,TECHNOLOGY_IT,44.22
109,2025-02-21,ALPHAETF,FACTOR,21.95
110,2025-02-24,MOSMALL250,BROAD_MARKET,14.51
111,2025-02-25,ITIETF,TECHNOLOGY_IT,42.14
112,2025-02-27,ALPHA,FACTOR,41.78
113,2025-02-28,SMALLCAP,BROAD_MARKET,38.75
114,2025-03-03,GROWWEV,AUTO,25.42
115,2025-03-04,HDFCMID150,BROAD_MARKET,17.97
116,2025-03-07,MASPTOP50,GLOBAL,51.64
117,2025-03-10,ALPHA,FACTOR,41.64
118,2025-03-11,MASPTOP50,GLOBAL,48.53
119,2025-03-12,ITETF,TECHNOLOGY_IT,37.41
120,2025-03-13,MON100,GLOBAL,175.98
